"wd16cd","wd16nm","lad16nm","2011_no2_total","2015_no2_total","2020_no2_total","2025_no2_total","2030_no2_total","2011_pm25_total","2011_pm25_secondary","2011_pm25_residual_salt","2015_pm25_total","2015_pm25_secondary","2015_pm25_residual_salt","2020_pm25_total","2020_pm25_secondary","2020_pm25_residual_salt","2025_pm25_total","2025_pm25_secondary","2025_pm25_residual_salt","2030_pm25_total","2030_pm25_secondary","2030_pm25_residual_salt"
"E05000650","Astley Bridge","Bolton",17.2268972298326,14.2997880060883,11.3376489756469,9.18014092085236,8.11128397260274,10.4589810121766,4.18244815372907,4.32902843987823,7.49941445205479,2.73722233028919,3.1753570761035,7.08667647640791,2.5056531978691,3.12728736681887,6.93449919330289,2.3905089847793,3.1252230761035,6.88595514764079,2.32067177473364,3.13398812024353
"E05000651","Bradshaw","Bolton",16.894483772776,14.3700181779207,11.3353837995713,9.21573737191854,8.18048808896034,10.4493065594855,4.20919577706324,4.2881622079314,7.41707799785638,2.74279136120043,3.11521793033226,7.01735485959271,2.51053162915327,3.06714794426581,6.87089234190782,2.39502724330118,3.06508382422294,6.82234181243301,2.32502557127546,3.07384893033226
"E05000652","Breightmet","Bolton",21.012851147541,17.8825350273224,14.1377945901639,11.4371091038251,10.123456784153,11.4117640710383,4.22871060655738,4.48815993989071,8.03449453278689,2.7591892704918,3.31469245081967,7.56735355464481,2.52479903551913,3.26662259289617,7.40456099726776,2.40822682240437,3.26455827868852,7.36224966393443,2.33785804644809,3.27332345081967
"E05000653","Bromley Cross","Bolton",15.8797773706897,13.3887672413793,10.5404382126437,8.52066094109195,7.53401193821839,10.1802302988506,4.18552441954023,4.26014026149425,7.26210211350575,2.73421022270115,3.09376825574713,6.87021423994253,2.50316889798851,3.04569844827586,6.72432959913793,2.38812801867816,3.04363413936782,6.67424384195402,2.31794579741379,3.05239924712644
"E05000654","Crompton","Bolton",24.4336697707736,20.857305243553,16.5981973638968,13.5003956733524,11.99688547851,12.1137052722063,4.19836457593123,4.57749911747851,8.65171050716332,2.74276849570201,3.4163616991404,8.12566489684814,2.51049206303725,3.36829181088825,7.95583081088825,2.39499032091691,3.36622750716332,7.92621208595989,2.32501909169054,3.3749926991404
"E05000655","Farnworth","Bolton",24.4539326712329,21.1434821917808,16.6255310958904,13.1841389041096,11.4489825296804,12.0270067579909,4.22856149315068,4.8882856803653,8.63401216210046,2.76529965753425,3.64980378995434,8.09036638356164,2.53011412785388,3.60173418949772,7.9075559086758,2.4131383652968,3.59966978995434,7.86647162557078,2.3426210456621,3.60843478995434
"E05000656","Great Lever","Bolton",26.3625734158416,22.8354648019802,18.1685494059406,14.8721194554455,13.2718973514851,12.2718848514851,4.226357,4.70036256435644,8.84122418811881,2.763395,3.50159795792079,8.28175342574257,2.528454,3.45352810643564,8.10975611386139,2.411602,3.45146395792079,8.08105717079208,2.341131,3.46022895792079
"E05000657","Halliwell","Bolton",25.5663591578947,22.6655967368421,17.8110144561404,14.2629343508772,12.5817242105263,12.1512182807018,4.21492563157895,4.61438276842105,8.99914427368421,2.75589024912281,3.45432190526316,8.43324060701754,2.52191736842105,3.40625196140351,8.24163177894737,2.40555583859649,3.40418778947368,8.20669833333333,2.33526666315789,3.41295290526316
"E05000658","Harper Green","Bolton",22.7377135220126,19.9724368238994,15.855383081761,12.6670973584906,11.0866305157233,11.596562672956,4.226357,4.8165456509434,8.50586147169811,2.763395,3.64293789308176,7.98765447798742,2.528454,3.59486832075472,7.8041198490566,2.411602,3.59280389622641,7.75613018553459,2.341131,3.60156889308176
"E05000659","Heaton and Lostock","Bolton",18.9919828268991,16.3861603486924,12.7731606600249,10.3296448181818,9.11802009090909,10.7377746575342,4.157540501868,4.42590227770859,7.99754578206725,2.74512112702366,3.29728143960149,7.5530261494396,2.5124928256538,3.24921154545455,7.4000234607721,2.39680846201743,3.2471473362391,7.35434179825654,2.32677955417186,3.2559123362391
"E05000660","Horwich and Blackrod","Bolton",18.2947279058663,15.1082352864939,11.9255390914052,9.73244025170532,8.61213449181446,10.8585421527967,4.07019317598909,4.64609318212824,8.52984355252387,2.70958440723056,3.63091822373806,8.08495387517053,2.48024783628922,3.58278947135061,7.93343690518417,2.36621782673943,3.58069127421555,7.88588902319236,2.29702175034106,3.5894327053206
"E05000661","Horwich North East","Bolton",16.5760954207436,13.7599567514677,10.8894575802348,8.9256072074364,7.947003981409,10.481898239726,4.11826767710372,4.3209375,7.66443652641879,2.72402428473581,3.22632400587084,7.26055385225049,2.49410764383562,3.17825401761252,7.11906593737769,2.3797958630137,3.17618981996086,7.07403687181996,2.31027709099804,3.18495481996086
"E05000662","Hulton","Bolton",20.1682583763133,17.3973035243553,13.7234714708691,10.8945138720153,9.45138640401146,11.183277860554,4.18992534765998,4.82587580897803,8.46202852913085,2.7610872425979,3.77594373925501,7.99234604584527,2.52641586723973,3.72787400095511,7.82255297898758,2.40969813849093,3.7258095243553,7.77184591595033,2.33928202292264,3.73457452626552
"E05000663","Kearsley","Bolton",24.324376875,20.4928810807292,16.1767492838542,12.9319662890625,11.2599545976563,11.9557895052083,4.2883791015625,4.90559316145833,8.51622984114583,2.78728184765625,3.75630978125,7.98814693880208,2.54929576432292,3.70823989583333,7.8138524140625,2.43090484505208,3.70617562630208,7.76998088932292,2.35985494401042,3.71494074088542
"E05000664","Little Lever and Darcy Lever","Bolton",21.6956308543689,18.0600914174757,14.3221421165049,11.5869575145631,10.2079321456311,11.4388990679612,4.25812661553398,4.57611725048544,8.06655834951456,2.77029686407767,3.41663919805825,7.59613750291262,2.53448487378641,3.36856941359223,7.43410363883495,2.41719346407767,3.36650512621359,7.38980825242718,2.34655609514563,3.37527019805825
"E05000665","Rumworth","Bolton",23.0670037948718,20.2837983589744,15.8983537948718,12.8606194871795,11.3651748871795,11.6087068717949,4.2069814,4.62168981025641,8.65868144102564,2.75901901538462,3.4909093948718,8.12520155897436,2.52462868205128,3.44283977948718,7.94762131282051,2.40805443589744,3.44077539487179,7.90935698461538,2.33768933333333,3.4495403948718
"E05000666","Smithills","Bolton",16.2198232876712,13.7500363744292,10.9104701753425,8.89791483561644,7.88525651324201,10.2125256502283,4.13558882283105,4.29345831324201,7.48026229041096,2.72719314885845,3.17319135981735,7.07971427305936,2.49688329315069,3.12512145753425,6.93065105753425,2.38237368584475,3.12305727762557,6.87979280273973,2.3127780739726,3.13182227762557
"E05000667","Tonge with the Haulgh","Bolton",25.8003413915858,21.8800308414239,17.5053145631068,14.3711597411003,12.8201138058252,12.4308036569579,4.21447515533981,4.64012034627832,8.83162344012945,2.75463974110032,3.43166208090615,8.31001064724919,2.5208297605178,3.38359247572816,8.15672755987055,2.40455089967638,3.38152808090615,8.13766121682848,2.33429203559871,3.39029308090615
"E05000668","Westhoughton North and Chew Moor","Bolton",19.2443762388592,16.2932242661913,12.8889393107546,10.4909421859774,9.26011124539513,11.1028914973262,4.1381417694593,4.71076860487225,9.01673555020796,2.74386345573381,3.71358506714201,8.57858333571004,2.51137546939988,3.66551535472371,8.4187656916221,2.395760704694,3.663451,8.36750268746286,2.3257622097445,3.67221608140226
"E05000669","Westhoughton South","Bolton",18.1366847770701,15.4592039012739,12.2061037579618,10.1056088073248,9.06677034235669,10.8073978025478,4.13946151433121,4.45807229936306,9.6549201910828,2.75376068789809,3.39743552388535,9.20099349681529,2.51999061464968,3.34936586464968,9.02812292197452,2.40372632324841,3.34730144267516,8.97194272292994,2.33348677866242,3.35606644267516
"E05000670","Besses","Bury",30.2870951383399,24.2811268379447,19.1630643083004,14.8929793675889,12.7170956126482,13.087467312253,4.40746549407115,5.26765529249012,9.0834788972332,2.84167730434783,4.11281827667984,8.52381614624506,2.61070696837945,4.06160354545455,8.34799070750988,2.49675775494071,4.05924485770751,8.31779739525692,2.42988198418972,4.06829854545455
"E05000671","Church","Bury",19.495279575,16.94671965,13.43606715,10.832776945,9.54220401,10.972305675,4.26267008,4.426636505,7.6210792175,2.75729464,3.23354895,7.188464515,2.52318352,3.1854790075,7.0352624675,2.40675568,3.1834147975,6.990142305,2.3364344,3.19217995
